_id,orX,orY,orZ,rX,rY,rZ,accX,accY,accZ,gX,gY,gZ,mX,mY,mZ,lux,soundLevel,activity
1,125,-17,2,0.0709966,-0.131696,-0.877469,-0.0383072,2.68151,8.65743,-0.0413156,2.67655,8.64271,-31.2,-35.6,-37.6,5000,49.56,Sitting
2,126,-17,2,0.0714863,-0.13148,-0.878024,-0.0383072,2.68151,8.65743,-0.0541957,2.67834,8.64654,-31.2,-36,-37.2,5000,53.38,Sitting
3,127,-17,2,0.0714005,-0.131551,-0.878799,0.153229,2.68151,8.65743,-0.0568672,2.68004,8.65088,-31.2,-36,-37.2,5000,53.38,Sitting
4,127,-17,2,0.0714005,-0.131551,-0.878799,0.153229,2.68151,8.65743,-0.0568672,2.68004,8.65088,-31.2,-36,-37.2,5000,49.53,Sitting
5,127,-17,2,0.0707716,-0.131888,-0.879645,0.153229,2.68151,8.65743,-0.0491283,2.6813,8.65458,-31.2,-35.6,-36.8,5000,49.53,Sitting
6,127,-17,2,0.0707716,-0.131888,-0.879645,0.153229,2.68151,8.65743,-0.0491283,2.6813,8.65458,-31.2,-35.6,-36.8,5000,49.53,Sitting
7,127,-17,2,0.0691724,-0.132711,-0.881449,0.153229,2.68151,8.65743,-0.0276463,2.682,8.65709,-31.2,-35.6,-36.8,5000,50.25,Sitting
8,127,-17,2,0.0691724,-0.132711,-0.881449,0.153229,2.68151,8.65743,-0.0276463,2.682,8.65709,-31.2,-35.6,-36.8,5000,50.25,Sitting
9,127,-17,2,0.0671819,-0.133712,-0.882605,0.153229,2.68151,8.65743,0.00535765,2.68224,8.65839,-31.2,-35.6,-36.4,5000,50.25,Sitting
10,127,-17,2,0.0671819,-0.133712,-0.882605,0.153229,2.68151,8.65743,0.00535765,2.68224,8.65839,-31.2,-35.6,-36.4,5000,50.25,Sitting
